Company,Combined Opp. Score,Bain Relationship Score,Revenue (M),Priority_status
"Arrow Electronics, Inc.",4.5,4.1,37124,Non-Priority
TD SYNNEX Corporation,15.5,7.35,62344,Non-Priority
"Avnet, Inc.",6.0,1.4,24311,Non-Priority
ALSO Holding AG,4.0,0.0,12431,Non-Priority
Redington Limited,10.5,3.2,8255,Non-Priority
CDW Corporation,9.0,7.65,23749,Non-Priority
"Daiwabo Holdings Co., Ltd.",14.5,0.0,6290,Non-Priority
"Macnica Holdings, Inc.",3.0,0.0,6274,Non-Priority
"Insight Enterprises, Inc.",15.0,7.6,10431,Non-Priority
Esprinet S.p.A.,14.0,0.0,5040,Non-Priority
Canon Marketing Japan Inc.,6.5,0.0,4460,Non-Priority
Datatec Limited,15.0,1.2,4443,Non-Priority
"Kaga Electronics Co.,Ltd.",7.0,0.0,4083,Non-Priority
Tomen Devices Corporation,13.5,0.0,3811,Non-Priority
"ScanSource, Inc.",12.0,1.2,3530,Non-Priority
Restar Holdings Corporation,14.0,0.0,3291,Non-Priority
AB S.A.,16.0,0.0,3214,Non-Priority
"PC Connection, Inc.",14.5,0.0,3125,Non-Priority
ASBISc Enterprises Plc,5.0,0.0,2708,Non-Priority
Micron Europe Ltd,7.5,0.0,2706,Non-Priority
Tech Data Service GmbH,10.0,0.0,2609,Non-Priority
SeSa S.p.A.,1.0,0.0,2542,Non-Priority
Exertis,14.0,0.0,2328,Non-Priority
Tech Data Limited,5.5,0.0,2317,Non-Priority
"Ryosan Company, Limited",3.5,0.0,2245,Non-Priority
Dicker Data Limited,1.5,0.0,2109,Non-Priority
Ryoden Corporation,16.0,0.0,1887,Non-Priority
ePlus inc.,3.0,0.0,1733,Non-Priority
"Tachibana Eletech Co., Ltd.",5.5,0.0,1593,Non-Priority
"Hakuto Co., Ltd.",8.0,0.0,1577,Non-Priority
Lenovo Technology,12.0,0.0,1574,Non-Priority
Tokyo Electron Device Limited,8.0,0.0,1482,Non-Priority
Midwich Group plc,7.0,0.0,1461,Non-Priority
Tech Data Italia s.r.l.,14.5,0.2,1410,Non-Priority
Marubun Corporation,7.0,0.0,1382,Non-Priority
Azlan Logistics Limited,11.0,0.0,1373,Non-Priority
RS Components Ltd.,5.5,0.0,1362,Non-Priority
Indeks Bilgisayar Sistemleri MÃ¼hendislik Sanayi ve Ticaret Anonim Sirketi,0.0,0.0,1346,Non-Priority
"Hagiwara Electric Holdings Co., Ltd.",12.5,0.0,1305,Non-Priority
Sun-Wa Technos Corporation,13.0,0.0,1272,Non-Priority
Logicom Public Limited,2.0,0.0,1254,Non-Priority
Synnex,12.5,0.0,1130,Non-Priority
"Shinko Shoji Co., Ltd.",12.5,0.0,1113,Non-Priority
SoftwareONE Holding AG,5.0,5.4,1093,Non-Priority
"Sanshin Electronics Co., Ltd.",6.0,0.0,1018,Non-Priority
Konica Minolta Business Solutions Europe GmbH,16.0,0.0,1002,Non-Priority
"Tsuzuki Denki Co., Ltd.",4.5,0.0,983,Non-Priority
"Satori Electric Co., Ltd.",11.5,0.0,979,Non-Priority
Ryoyo Electro Corporation,13.0,0.0,973,Non-Priority
Digiworld Corporation,1.5,0.0,934,Non-Priority
Arena Bilgisayar Sanayi ve Ticaret A.S.,5.0,5.0,929,Non-Priority
Softchoice Corporation,4.0,1.4,928,Non-Priority
Serial System Ltd,14.0,0.0,907,Non-Priority
Tokyo Electron Europe Limited,6.0,0.0,878,Non-Priority
SiS Distribution,4.0,0.0,840,Non-Priority
"Nihon Denkei Co.,Ltd.",8.0,0.0,756,Non-Priority
TIM AG,10.0,0.0,691,Non-Priority
Takebishi Corporation,9.0,0.0,672,Non-Priority
"Daitron Co., Ltd.",5.5,0.0,665,Non-Priority
VSTECS Berhad,9.0,0.0,633,Non-Priority
Armada Bilgisayar Sistemleri Sanayi ve Ticaret A.S.,4.0,0.0,556,Non-Priority
Compuage Infocom Limited,12.0,0.0,554,Non-Priority
"GLOSEL Co., Ltd.",17.0,0.0,554,Non-Priority
Penta Teknoloji Urunleri Dagitim Ticaret A.S.,1.5,0.0,526,Non-Priority
Tech Data Osterreich GmbH,10.0,0.2,523,Non-Priority
Kioxia Europe Gmbh,12.5,0.0,515,Non-Priority
Suzuden Corporation,4.5,0.0,492,Non-Priority
